15:40:47.806 Connecting to WIFLEN ...
15:40:48.915 Connected
15:40:48.946 908.2048 ,68.24 ,37.00 ,908.2781 ,69.97
15:40:48.957 33.67 ,908.1873 ,68.24 ,37.00 ,908.2781 ,69.97
15:40:48.965 33.67 ,908.1873 ,68.24 ,37.03 ,908.2626 ,70.21
15:40:48.977 33.67 ,908.1873 ,68.24 ,37.03 ,908.2626 ,70.21
15:40:48.997 33.67 ,908.1873 ,68.24 ,37.03 ,908.2626 ,70.21
15:40:49.032 33.67 ,908.1873 ,68.24 ,37.03 ,908.2626 ,70.21
15:40:49.053 33.68 ,908.1750 ,68.57 ,37.03 ,908.2626 ,70.21
15:40:49.087 33.68 ,908.1750 ,68.57 ,37.05 ,908.2786 ,70.34
15:40:49.104 33.68 ,908.1750 ,68.57 ,37.05 ,908.2786 ,70.34
15:40:49.112 33.68 ,908.1750 ,68.57 ,37.05 ,908.2786 ,70.34
15:40:49.145 33.70 ,908.1969 ,69.06 ,37.05 ,908.2786 ,70.34
15:40:49.165 33.70 ,908.1969 ,69.06 ,37.07 ,908.2856 ,70.60
15:40:49.172 33.70 ,908.1969 ,69.06 ,37.07 ,908.2856 ,70.60
15:40:49.205 33.70 ,908.1969 ,69.06 ,37.07 ,908.2856 ,70.60
15:40:49.217 33.70 ,908.1969 ,69.06 ,37.07 ,908.2856 ,70.60
15:40:49.223 33.72 ,908.1954 ,69.38 ,37.07 ,908.2856 ,70.60
15:40:49.259 33.72 ,908.1954 ,69.38 ,37.07 ,908.2525 ,70.90
15:40:49.266 33.72 ,908.1954 ,69.38 ,37.10 ,908.2525 ,70.90
15:40:49.272 33.72 ,908.1954 ,69.38 ,37.10 ,908.2525 ,70.90
15:40:49.289 33.72 ,908.1954 ,69.38 ,37.10 ,908.2525 ,70.90
15:40:49.309 33.72 ,908.1954 ,69.38 ,37.10 ,908.2525 ,70.90
15:40:49.327 33.74 ,908.1956 ,69.71 ,37.10 ,908.2525 ,70.90
15:40:49.379 33.74 ,908.1956 ,69.71 ,37.12 ,908.2528 ,70.97
15:40:49.381 33.74 ,908.1956 ,69.71 ,37.12 ,908.2528 ,70.97
15:40:49.411 33.74 ,908.1956 ,69.71 ,37.12 ,908.2528 ,70.97
15:40:49.454 33.74 ,908.1956 ,69.71 ,37.12 ,908.2528 ,70.97
15:40:49.456 33.75 ,908.1855 ,69.99 ,37.12 ,908.2528 ,70.97
15:40:49.472 33.75 ,908.1855 ,69.99 ,37.13 ,908.2528 ,71.10
15:40:49.476 33.75 ,908.1855 ,69.99 ,37.13 ,908.2528 ,71.10
15:40:49.513 33.75 ,908.1855 ,69.99 ,37.13 ,908.2528 ,71.10
15:40:49.526 33.77 ,908.1894 ,70.18 ,37.13 ,908.2528 ,71.10
15:40:49.559 33.77 ,908.1894 ,70.18 ,37.14 ,908.2545 ,70.74
15:40:49.573 33.77 ,908.1894 ,70.18 ,37.14 ,908.2545 ,70.74
15:40:49.582 33.77 ,908.1894 ,70.18 ,37.14 ,908.2545 ,70.74
15:40:49.614 33.77 ,908.1894 ,70.18 ,37.14 ,908.2545 ,70.74
15:40:49.626 33.78 ,908.1912 ,70.06 ,37.14 ,908.2545 ,70.74
15:40:49.633 33.78 ,908.1912 ,70.06 ,37.14 ,908.2545 ,70.74
15:40:49.667 33.78 ,908.1912 ,70.06 ,37.10 ,908.2947 ,70.38
15:40:49.675 33.78 ,908.1912 ,70.06 ,37.10 ,908.2947 ,70.38
15:40:49.681 33.78 ,908.1912 ,70.06 ,37.10 ,908.2947 ,70.38
15:40:49.703 33.78 ,908.1912 ,70.06 ,37.10 ,908.2947 ,70.38
15:40:49.726 33.79 ,908.1914 ,70.41 ,37.10 ,908.2947 ,70.38
15:40:49.733 33.79 ,908.1914 ,70.41 ,37.10 ,908.2912 ,70.20
15:40:49.773 33.79 ,908.1914 ,70.41 ,37.00 ,908.1536 ,70.20
15:40:49.781 33.79 ,908.1914 ,70.41 ,37.00 ,908.1536 ,70.20
15:40:49.789 33.79 ,908.1914 ,70.41 ,37.00 ,908.1536 ,70.20
15:40:49.822 33.80 ,908.2112 ,70.82 ,37.00 ,908.1536 ,70.20
15:40:49.832 33.80 ,908.2112 ,70.82 ,37.00 ,908.1536 ,70.20
15:40:49.838 33.80 ,908.2112 ,70.82 ,36.89 ,908.0997 ,70.27
15:40:49.874 33.80 ,908.2112 ,70.82 ,36.89 ,908.0997 ,70.27
15:40:49.886 33.80 ,908.2112 ,70.82 ,36.89 ,908.0997 ,70.27
15:40:49.892 33.80 ,908.2112 ,70.82 ,36.89 ,908.0997 ,70.27
15:40:49.925 33.81 ,908.1937 ,71.10 ,36.89 ,908.0997 ,70.27
15:40:49.987 33.81 ,908.1937 ,71.10 ,36.89 ,908.0997 ,70.27
15:40:49.995 33.81 ,908.1937 ,71.10 ,36.77 ,908.1287 ,70.26
15:40:50.028 33.83 ,908.3658 ,71.50 ,36.77 ,908.1287 ,70.26
15:40:50.040 33.83 ,908.3658 ,71.50 ,36.77 ,908.1287 ,70.26
15:40:50.046 33.83 ,908.3658 ,71.50 ,36.63 ,908.2136 ,70.31
15:40:50.079 33.83 ,908.3658 ,71.50 ,36.63 ,908.2136 ,70.31
15:40:50.091 33.83 ,908.3658 ,71.50 ,36.63 ,908.2136 ,70.31
15:40:50.096 33.84 ,908.9540 ,72.00 ,36.63 ,908.2136 ,70.31
15:40:50.133 33.84 ,908.9540 ,72.00 ,36.63 ,908.2136 ,70.31
15:40:50.157 33.84 ,908.9540 ,72.00 ,36.63 ,908.0856 ,70.45
15:40:50.162 33.84 ,908.9540 ,72.00 ,36.53 ,907.9408 ,70.45
15:40:50.199 33.84 ,908.9540 ,72.00 ,36.53 ,907.9408 ,70.45
15:40:50.208 33.85 ,909.2628 ,72.26 ,36.53 ,907.9408 ,70.45
15:40:50.213 33.85 ,909.2628 ,72.26 ,36.53 ,907.9408 ,70.45
15:40:50.252 33.85 ,909.2628 ,72.26 ,36.44 ,907.8365 ,70.75
15:40:50.260 33.85 ,909.2628 ,72.26 ,36.44 ,907.8365 ,70.75
15:40:50.298 33.85 ,909.2628 ,72.26 ,36.44 ,907.8365 ,70.75
15:40:50.306 33.87 ,909.6066 ,72.51 ,36.44 ,907.8365 ,70.75
15:40:50.315 33.87 ,909.6066 ,72.51 ,36.44 ,907.8365 ,70.75
15:40:50.349 33.87 ,909.6066 ,72.51 ,36.44 ,907.8820 ,70.92
15:40:50.358 33.87 ,909.6066 ,72.51 ,36.35 ,907.7584 ,70.92
15:40:50.366 33.87 ,909.6066 ,72.51 ,36.35 ,907.7584 ,70.92
15:40:50.398 33.87 ,909.6066 ,72.51 ,36.35 ,907.7584 ,70.92
15:40:50.409 33.88 ,909.7999 ,72.70 ,36.35 ,907.7584 ,70.92
15:40:50.415 33.88 ,909.7999 ,72.70 ,36.35 ,907.7584 ,70.92
15:40:50.452 33.88 ,909.7999 ,72.70 ,36.27 ,907.6755 ,71.15
15:40:50.463 33.88 ,909.7999 ,72.70 ,36.27 ,907.6755 ,71.15
15:40:50.468 33.88 ,909.7999 ,72.70 ,36.27 ,907.6755 ,71.15
15:40:50.505 33.88 ,909.8035 ,72.84 ,36.27 ,907.6755 ,71.15
15:40:50.524 33.88 ,909.8035 ,72.84 ,36.27 ,907.6755 ,71.15
15:40:50.529 33.88 ,909.8035 ,72.84 ,36.25 ,907.5333 ,71.38
15:40:50.565 33.88 ,909.8035 ,72.84 ,36.25 ,907.5333 ,71.38
15:40:50.574 33.88 ,909.8035 ,72.84 ,36.25 ,907.5333 ,71.38
15:40:50.579 33.88 ,909.8035 ,72.84 ,36.25 ,907.5333 ,71.38
15:40:50.616 33.88 ,908.2181 ,72.09 ,36.25 ,907.5333 ,71.38
15:40:50.625 33.88 ,908.2181 ,72.09 ,36.25 ,907.5333 ,71.38
15:40:50.662 33.88 ,908.2181 ,72.09 ,36.27 ,908.2481 ,72.15
15:40:50.675 33.88 ,908.2181 ,72.09 ,36.27 ,908.2481 ,72.15
15:40:50.683 33.88 ,908.2181 ,72.09 ,36.27 ,908.2481 ,72.15
15:40:50.717 33.84 ,908.2350 ,70.64 ,36.27 ,908.2481 ,72.15
15:40:50.729 33.84 ,908.2350 ,70.64 ,36.27 ,908.2481 ,72.15
15:40:50.786 33.84 ,908.2350 ,70.64 ,36.22 ,908.2495 ,72.92
15:40:50.817 33.84 ,908.2350 ,70.64 ,36.22 ,908.2495 ,72.92
15:40:50.871 33.75 ,908.2528 ,69.06 ,36.22 ,908.2495 ,72.92
15:40:50.881 33.75 ,908.2528 ,69.06 ,36.22 ,908.2495 ,72.92
15:40:50.914 33.63 ,908.2399 ,67.37 ,36.18 ,908.2299 ,73.59
15:40:50.923 33.63 ,908.2399 ,67.37 ,36.18 ,908.2299 ,73.59
15:40:50.931 33.63 ,908.2399 ,67.37 ,36.15 ,908.2277 ,74.13
15:40:50.964 33.63 ,908.2399 ,67.37 ,36.15 ,908.2277 ,74.13
15:40:50.976 33.63 ,908.2399 ,67.37 ,36.15 ,908.2277 ,74.13
15:40:50.984 33.50 ,908.2139 ,65.65 ,36.15 ,908.2277 ,74.13
15:40:51.017 33.50 ,908.2139 ,65.65 ,36.15 ,908.2277 ,74.13
15:40:51.036 33.50 ,908.2139 ,65.65 ,36.15 ,908.2277 ,74.13
15:40:51.043 33.50 ,908.2139 ,65.65 ,36.12 ,908.2222 ,74.69
15:40:51.075 33.50 ,908.2139 ,65.65 ,36.12 ,908.2222 ,74.69
15:40:51.086 33.39 ,908.2360 ,64.18 ,36.12 ,908.2222 ,74.69
15:40:51.092 33.39 ,908.2360 ,64.18 ,36.12 ,908.2222 ,74.69
15:40:51.129 33.39 ,908.2360 ,64.18 ,36.12 ,908.2222 ,74.69
15:40:51.220 33.39 ,908.2360 ,64.18 ,36.09 ,908.2394 ,75.16
15:40:51.223 33.39 ,908.2360 ,62.72 ,36.09 ,908.2394 ,75.16
15:40:51.232 33.29 ,908.1771 ,62.72 ,36.08 ,908.2408 ,75.50
15:40:51.265 33.29 ,908.1771 ,62.72 ,36.08 ,908.2408 ,75.50
15:40:51.307 33.29 ,908.1771 ,62.72 ,36.08 ,908.2408 ,75.50
15:40:51.316 33.22 ,908.1756 ,61.29 ,36.08 ,908.2408 ,75.50
15:40:51.349 33.22 ,908.1756 ,61.29 ,36.06 ,908.2004 ,75.89
15:40:51.380 33.22 ,908.1756 ,61.29 ,36.06 ,908.2004 ,75.89
15:40:51.387 33.22 ,908.1756 ,61.29 ,36.06 ,908.2004 ,75.89
15:40:51.421 33.17 ,908.1797 ,59.83 ,36.06 ,908.2004 ,75.89
15:40:51.462 33.17 ,908.1797 ,59.83 ,36.06 ,908.2477 ,76.15
15:40:51.467 33.17 ,908.1797 ,59.83 ,36.05 ,908.2477 ,76.15
15:40:51.500 33.12 ,908.2122 ,58.76 ,36.05 ,908.2477 ,76.15
15:40:51.545 33.12 ,908.2122 ,58.76 ,36.05 ,908.2477 ,76.15
15:40:51.551 33.12 ,908.2122 ,58.76 ,36.03 ,908.2176 ,76.46
15:40:51.583 33.08 ,908.1847 ,57.68 ,36.03 ,908.2176 ,76.46
15:40:51.626 33.08 ,908.1847 ,57.68 ,36.03 ,908.2176 ,76.46
15:40:51.632 33.08 ,908.1847 ,57.68 ,36.01 ,908.2520 ,76.71
15:40:51.666 33.08 ,908.1847 ,57.68 ,36.01 ,908.2520 ,76.71
15:40:51.709 33.05 ,908.1930 ,56.92 ,36.01 ,908.2520 ,76.71
15:40:51.715 33.05 ,908.1930 ,56.92 ,36.01 ,908.2520 ,76.71
15:40:51.748 33.05 ,908.1930 ,56.92 ,35.99 ,908.2555 ,76.89
15:40:51.789 33.05 ,908.1930 ,56.92 ,35.99 ,908.2555 ,76.89
15:40:51.796 33.03 ,908.1818 ,57.37 ,35.99 ,908.2555 ,76.89
15:40:51.828 33.03 ,908.1818 ,57.37 ,35.99 ,908.2555 ,76.89
15:40:51.873 33.03 ,908.1818 ,57.37 ,35.99 ,908.2729 ,77.06
15:40:51.880 33.03 ,908.1818 ,57.37 ,35.99 ,908.2729 ,77.06
15:40:51.913 33.03 ,908.1462 ,58.98 ,35.99 ,908.2729 ,77.06
15:40:51.955 33.03 ,908.1462 ,58.98 ,35.99 ,908.2729 ,77.06
15:40:51.962 33.03 ,908.1462 ,58.98 ,36.02 ,908.2491 ,77.08
15:40:51.994 33.06 ,908.1842 ,60.68 ,36.02 ,908.2491 ,77.08
15:40:52.034 33.06 ,908.1842 ,60.68 ,36.02 ,908.2491 ,77.08
15:40:52.040 33.06 ,908.1842 ,60.68 ,36.06 ,908.2372 ,77.29
15:40:52.073 33.11 ,908.1589 ,62.37 ,36.06 ,908.2372 ,77.29
15:40:52.131 33.11 ,908.1589 ,62.37 ,36.06 ,908.2372 ,77.29
15:40:52.268 33.11 ,908.1589 ,62.37 ,36.11 ,908.2078 ,77.50
15:40:52.293 33.18 ,908.1534 ,63.83 ,36.11 ,908.2078 ,77.50
15:40:52.297 33.18 ,908.1600 ,65.06 ,36.17 ,908.2243 ,77.58
15:40:52.306 33.24 ,908.1600 ,65.06 ,36.17 ,908.2243 ,77.58
15:40:52.333 33.24 ,908.1600 ,65.06 ,36.23 ,908.2425 ,77.74
15:40:52.361 33.24 ,908.1600 ,65.06 ,36.23 ,908.2425 ,77.74
15:40:52.366 33.31 ,908.1597 ,66.14 ,36.23 ,908.2425 ,77.74
15:40:52.371 33.31 ,908.1597 ,66.14 ,36.23 ,908.2425 ,77.74
15:40:52.409 33.31 ,908.1597 ,66.14 ,36.23 ,908.2425 ,77.74
15:40:52.498 33.31 ,908.1597 ,66.14 ,36.23 ,908.2425 ,77.74
15:40:52.501 33.36 ,908.1591 ,66.72 ,36.27 ,908.2502 ,77.77
15:40:52.510 33.36 ,908.1591 ,66.72 ,36.27 ,908.2502 ,77.77
15:40:52.543 33.36 ,908.1591 ,66.72 ,36.31 ,908.2575 ,77.89
15:40:52.585 33.40 ,908.1831 ,67.27 ,36.31 ,908.2575 ,77.89
15:40:52.593 33.40 ,908.1831 ,67.27 ,36.31 ,908.2575 ,77.89
15:40:52.625 33.40 ,908.1831 ,67.27 ,36.31 ,908.2575 ,78.09
15:40:52.676 33.40 ,908.1831 ,67.27 ,36.33 ,908.2523 ,78.09
15:40:52.681 33.42 ,908.1786 ,67.67 ,36.33 ,908.2523 ,78.09
15:40:52.714 33.42 ,908.1786 ,67.67 ,36.33 ,908.2523 ,78.09
15:40:52.757 33.42 ,908.1786 ,67.67 ,36.37 ,908.2614 ,78.26
15:40:52.764 33.42 ,908.1786 ,68.23 ,36.37 ,908.2614 ,78.26
15:40:52.800 33.43 ,908.1611 ,68.23 ,36.37 ,908.2614 ,78.26
15:40:52.841 33.43 ,908.1611 ,68.23 ,36.37 ,908.2614 ,78.26
15:40:52.846 33.43 ,908.1611 ,68.84 ,36.39 ,908.2581 ,78.28
15:40:52.882 33.45 ,908.1896 ,68.84 ,36.39 ,908.2581 ,78.28
15:40:52.930 33.45 ,908.1896 ,68.84 ,36.39 ,908.2581 ,78.28
15:40:52.935 33.45 ,908.1896 ,69.32 ,36.42 ,908.2620 ,78.51
15:40:52.971 33.46 ,908.1864 ,69.32 ,36.42 ,908.2620 ,78.51
15:40:53.012 33.46 ,908.1864 ,69.32 ,36.42 ,908.2620 ,78.51
15:40:53.018 33.46 ,908.1864 ,69.32 ,36.45 ,908.2500 ,78.62
15:40:53.056 33.48 ,908.2099 ,69.77 ,36.45 ,908.2500 ,78.62
15:40:53.096 33.48 ,908.2099 ,69.77 ,36.45 ,908.2500 ,78.62
15:40:53.130 33.48 ,908.2099 ,69.77 ,36.49 ,908.2573 ,78.69
15:40:53.175 33.48 ,908.1997 ,70.16 ,36.49 ,908.2573 ,78.69
15:40:53.184 33.50 ,908.1997 ,70.16 ,36.49 ,908.2573 ,78.69
15:40:53.216 33.50 ,908.1997 ,70.16 ,36.49 ,908.2573 ,78.69
15:40:53.246 33.50 ,908.1997 ,70.16 ,36.52 ,908.2772 ,78.74
15:40:53.254 33.52 ,908.1947 ,70.51 ,36.52 ,908.2772 ,78.74
15:40:53.286 33.52 ,908.1947 ,70.51 ,36.52 ,908.2772 ,78.74
15:40:53.319 33.52 ,908.1947 ,70.51 ,36.52 ,908.2772 ,78.74
15:40:53.330 33.52 ,908.1947 ,70.51 ,36.55 ,908.2425 ,78.76
15:40:53.360 33.54 ,908.1934 ,70.73 ,36.55 ,908.2425 ,78.76
